,Comment
1772,Giờ ai coi điểm danh cái nè
1773,"Mình rất thích lứa cầu thủ dự Asian cup 2019. Các bạn đã thể hiện thật tuyệt vời và toàn diện về mọi mặt: ""Tinh thần, Thể lực, kỹ thuật, sư vô tư, đoàn kết..."" rất đồng đều. Thực tế cho thấy Thày Par cũng đã được hưởng lợi và nổi tiếng thêm nhờ lứa cầu thủ này. Các cụ xưa đã dạy: ""Có bột mới gột nên hồ"" quả không gì chính xác hơn."
1774,"Hãy xứng danh Bầu Đức, Người đã đưa thầy Park làm nên lịch sử bóng đá VN 2018 và đầu 2019 trên mọi phương diện"
1775,4:45s ng lạ giờ  quen. Khi xưa bắt chuẩn sau hôm trc chơi kì vậy anh
1776,Đến bjo xem lại t vẫn xúc động và rơi nước mắt. Cảm ơn các em
1777,4 năm rồi có ai xem lại không ?
1778,Sao có việt nam ở lúc  đầu tiên sao giông trung quốc vậy . Vl phí minh long
1779,"vẫn cảm xúc ấy, thật nghẹn ngào!!"
1780,2019 ai vẫn còn xem
1781,Xem lại mà tự hào rơi nước mắt!
1782,"Giờ xem lại vẫn còn run, tim vẫn đập nhanh và sự hồi hộp như ngày xem trực tiếp"
1783,HLV Hữu Thắng toàn mua độ chả làm đc cái quái gì
1784,"Trước những trận đấu quan trọng tôi luôn xem lại những khoảnh khắc như thế này và Việt Nam luôn chiến thắng, và hôm nay Tôi tin Việt Nam của chúng ta cũng sẽ chiến thắng trước Nhật Bản. Việt Nam cố lên !"
1785,16/4/2020 tôi vẫn đang xem
1786,15/10/2019 liệu ai còn xem ??
1787,Ngày 31/1/2019 coi lại vẫn cảm động vẫn khóc 
1788,Tôi tin VN sẽ giành HCV Seagame 2019 này. Vn vô địch!
1789,Yoyyo bây h Thái lại gáy lênnnnnnnn
1790,Xem đi xem lại vẫn bật khóc vì xúc động !!!
1791,Rồi 30 vô cmn địch không thua trận nào
1792,"Đã 2 năm rồi ư, nhanh thật"
1793,25/03/19 xem lại vẫn nổi gia gà...cảm xúc quá
1794,Thực sự cứ xem video này mình cảm thấy tự hào vô cùng!!! Bh vẫn còn xem;)
1795,video hay lam
1796,Cảm ơn thầy Park rất nhìu 
1797,xem lại tý khóc
1798,Se con mai den mai sau.3.9.2019.
1799,Cảm xúc vô tận...đêm nào tui cũng vào xem mà k biết chán..vì video quá nhiều cảm xúc
1800,"Chung kết Việt Nam! Ko thắng nhưng bão lớn, uzbekistan tuổi l sánh 1 góc"
1801,Một đội bóng nhỏ ở một đất nước nhỏ đã làm nên câu chuyện không thể nghĩ tới :)
1802,Có ai xem xong tự nhiên rơi nước mắt không? Thiệt nó cảm động hết sức vậy đó!!!
1803,ngày 9-12-2019 7 giờ:38  ai còn xem giơ tay
1804,"Xem đi xem lại k chán, vẫn giữ nguyên cảm xúc đó"
1805,8:10 Nhạc gì các bạn nhỉ?
1806,ai còn coi lại không 24/11/2019
1807,Cảm ơn bạn đã có một clip thật hay và ý nghĩa.  Tôi yêu đội tuyển việt nam.
1808,Lúc xem trận chung kết mà Quang Hải sút vào các anh ôm nhau tự nhiên nước mắt của tôi rơi
1809,Ớn ông Chinh đen ghê đá ko vô đứng ôm đầu 3:24 :)))
1810,Quang Hải Công Phương là 2 cái tên sáng giá nhất trong u23 vietnam! một đẳng cấp khó tả nổi !
1811,Có ai từ seagame 30 qua đây ko ai qua cho 1 like
1812,1/6/2019 có ai còn xem hum
1813,đã khóc quá nhiều vì cảm xúc các bạn dành cho người hâm mộ
1814,- Quang Hải tuyệt thật 
1815,"Tôi thấy lúc đầu thầy Park rất khiêm tốn và lịch sự, giờ có được thành tích rồi thì luôn tỏ thái độ cao ngạo hơn thua với bất kỳ đối thủ nào. Nhìn hành động nổi nóng quá khích trên sân of thầy khiến tôi cành mất thiện cảm"
1816,"21/2/2019 vẫn xem
Thường Châu tuyết trắng mãi trong tim tôi"
1817,"Bàn thắng thứ 6 mới đúng ko phải 5 
1 hàn quốc 
2 úc 
3iraq"
1818,T6-2018 ai còn coi hăm
1819,Tội các a khi phải đá dưới điều kiện tuyết rơi nhiều như vậy nhưng các a rất cố gắng chúc các a sức khỏe
1820,"1:49
Other Asians: Why do I hear boss music?"
1821,Video hay và đầy cảm xúc 31/1/2019 ai còn xem lại không khi Qatar gặp Nhật Chung kết ASIAN Cup 2019 tại UAE....
1822,Tôi k bao giờ quên khoảnh khắc Thường Châu tuyết trắng phủ lên những chien binh áo đỏ của tôi.tôi yêu Việt Nam 🇻🇳🇻🇳🇻🇳
1823,Nghe Công Phượng trả lời mà rớt nước mắt. và khi xem hết video cảm xúc vẫn lâng lâng và tự hào như ngày đầu. VIỆT NAM - VIỆT NAM 4/12/2019 có ai như mình ko?
1824,Thực sự xúc động khi xem lại những hình ảnh này!
1825,Quá ư súc động
1826,Đên bjo có ai vẫn còn xem và sống mũi còn hơi cay k ạ
1827,Xem lại nhưng cung bậc cảm xúc để rồi lại khóc vì quá tự hào
1828,"24/1/2019. Trận đấu được mong chờ nhất sắp đến. Tôi không hi vọng thắng vì đối thủ quá đẳng cấp. Chỉ hi vọng các cầu thủ chiến đấu hết mình,  để cống hiến một trận cầu thật sự hay và không thể quên đối với lịch sử bóng đá nước nhà. Mặc dù con đường chông gai bao nhiêu, hãy cứ cố gắng rồi thành quả sẽ đến nhé các “chiến binh sao vàng” ️"
1829,hãy xem để ngừng chỉ trích Bùi Tiến Dũng
1830,và bây h là vô địch aff cup và vào tứ kết asian cup . Thật tự hào 
1831,Ý nghĩa
1832,ad cho xin bài nhạc nện phút 8:00
1833,Coi lại mà cảm xúc quá :3
1834,Tròn 1 năm cảm giác vẫn đầy xúc động....
1835,Hn xem lại và vẫn khóc cám ơn các cầu thủ
1836,Coi đi coi lại vẫn thây sướng️️
1837,"https://youtu.be/BRDdCS-HKpI   <---- Những khoảng khắc, những bàn thắng làm nên lịch sử"
1838,Aff k có ông này bình luận xem k có cảm xúc phải k mọi ng
1839,Mỗi lần xem lại quả cầu vồng trong tuyết của quang hải lại thấy xúc động kinh khủng
1840,Ai vừa xem việt nam vs thái lan k ạ
1841,mỗi lần cần nghị lực để tiến lên. Tôi lại xem những hình ảnh đầy cảm xúc này
1842,Nước mắt đã bắt đầu rơi từ phút thứ 1:17 và kéo dài đến gần hết clip 
1843,Việt nam hcv seagame 30
1844,"Có cố gắng thì sẽ có thành công và luôn đc đón nhận, mn sẽ có cái nhìn khác về đội tuyển bóng đá việt nam nói chúng và u23 nói riêng"
1845,Thời của hlv nguyễn hữu thua
1846,2022 còn ai xem khong
1847,Xem lại xem đi hàng chục lần mà vẫn cảm thấy ngất ngây.
1848,"Thầy park lại viết thêm lịch sử cho việt nam. Việt nam mình rất mạnh, chỉ cần có thầy giỏi :))"
1849,4:07 BTD là một quả bom nổ chậm
1850,Xem lại vẫn nổi da gà. Quá tuyệt
1851,Giờ tụi nó quên bùi tiến dũng rồi lúc trước thì  thôi tao meis nói nữa
1852,4 tháng 3 năm 2020 ai còn xem
1853,Những chàng trai áo đỏ xem xong mà nước mắt rơi hi vọng 2020 u23 VN làm nên kì tích
1854,Công phượng nói rất đúng việt nam đã rất thành công ngoài sự mong đợi
1855,Hnay Tao vẫn xem trong khi tránh dịch
1856,15/12 Việt Nam vô địch Aff cup . Ko thể diễn tả nỗi xúc động của tôi
1857,xin tên nhạc 8:43
1858,Team xem vào tháng 6 2018
1859,Bây giờ chỉ xem đc như vậy mà cảm xúc vẫn tràn đầy
1860,Giờ ai còn xem không
1861,Xuân trường trước kia cũng kém mà giờ đc park hang seo nâng đỡ và giờ..Là một anh hùng thực sự
1862,Coi lại vẩn như ngày đầu...tự hào 2chữ Việt Nam
1863,Đã khóc.
1864,Nhìn trời tuyết thương các cầu thủ quá.
1865,Mn đang chỉ trích BTD nhiều quá nên quay lại xem.
1866,Phí Minh Long phản xạ kém hơn Bùi Tiến Dũng nhiều
1867,"Cái này đúng là tay trắng lập nghiệp lun ó! Mà bởi vậy mới thấy ĐTQG VN bây giờ có 1 người thầy, 1 người lãnh đạo cực kì tài ba - Thầy Park!"
1868,Xem đi xem lại nhiều lần mà cảm xúc vẫn ùa về như mới diễn ra ngày hôm qua.
1869,Nó đã đúng !!!
1870,Có ai vừa xem U23 (2019)  đá mà vào đây xem lại năm ngoái không?  Có những thứ nên giữ lại trong cảm xúc thôi
1871,4:42 anh trọng tài đập chai
1872,Mỗi tối đều mở lên xem trước khi ngủ các bác ạ :))))))
1873,Không sao đừng nên nản lòng thừa trận này thì đá trận khác. Cố lên U23 Việt Nam
1874,29.3.2019: Ai xem lại vẫn còn khóc như mình không? :((
1875,Hay
1876,1 năm đầy đáng nhớ
1877,"Cho mình hỏi ngiu xíu, Cho mình xin in4 cố gái 0:43 đứng kế bên Công Phượng với"
1878,27/8/2018 0h11 phút
1879,Chỉ cần là các bạn cố gắng hết sức mình. Dù thua hay thắng cổ động viên không bao giờ bỏ các bạn hết. U23 VN
1880,Fan NG.Q.HẢI điểm danh
1881,Xem lại mà muốn khóc quá 
1882,Cảm xúc của Thường Châu năm ấy
1883,2020 vẫn xem
1884,"3 năm để chuẩn bị Cho Word cup2022  
Cố lên nào các chàng trái "
1885,hay quá
1886,Hẹn syria ngày 27/8 này nhé.ahii
1887,"hôm nay ta thua nhật ở tứ kết asian cup. NHƯNG, ta vẫn rất tự hào về đội tuyển vn."
1888,Tôi đã xem lại và cảm xúc đã khởi lại năm 2018
1889,Thủ môn quá tệ
1890,Hôm nay U23 sấp nhỏ có 3 điểm đầu tiên <3 Cùng chúc cho mấy đứa nhỏ nhà mình thôi T^T
1891,Tiến Dũng đi rồi ông giáo ạ
1892,4/6/2019 ai còn xem ko
1893,"Mong rằng sẽ tìm được lứa cầu thủ như u23 ,như ĐTVN như bây giờ , như hlv Park đã nói , việc bây giờ là tìm kiếm và đào tạo được các cầu thủ tương lai vì các cầu thủ ôg đang huấn luyện cũg tầm 23,24 rồi. Mong sao có 1 đội chất lượng như bây giờ sau này vẫn vậy"
1894,thật sự mà nói xem lại pha gỡ hoà từ ngoài vòng cấm của quang hải trong trận quatar vẫn làm mình cảm thấy sung sướng
1895,Viedeo hay vl
1896,Mong đội tuyển VN cố gắng hơn nhìu  iu các anh ...
1897,Tôi yêu các chành trai
1898,11/6 còn ai xem ko??
1899,xem lại mà vẫn muốn rơi nước mắt ........ (+_+)
1900,9:07 thủ môn tiến dũng ????????
1901,Mỗi lần xem lại thì lại khóc
1902,Thiệt chứ coi clip này t chỉ biết nổi da gà da vịt lên hết. Hay quá
1903,"Epic legend không hay . Sao lại cắt nhạc vậy, để bản cũ nghe hùng vĩ hơn"
1904,11.3.2019 quay lại xem. Yêu cảm giác tự hào đó
1905,Liệu kỳ tích có lập lại 10-1-2020
1906,6.9.2019.
1907,Hải lơ said : ai chê bóng đá việt nam thì người đó không biết gì về bóng đá ! Chúng tôi tin việt nam sẽ làm nên kì tích mở ra trang sử mới
1908,VN vừa thắng Thái Lan 4-0 và tao lại vào xem clip này. Cảm xúc lần nào xem vẫn còn y nguyên :3
1909,Biết bao h mới có một lần như vậy
1910,Ngày chắc xem lại 1 lần️️️🇲🇦
1911,9/5/2020 vẫn còn xem
1912,10/2019 ???
1913,"NHẠC HAY, LÀM MÌNH XEM THẤY CĂNG THẲNG VÀ HỒI HỘP THEO TỪNG BƯỚC TIẾN CỦA BÓNG ĐÁ VIỆT NAM"
1914,Cái cảm xúc vừa vui vừa sợ khao khác đc đi tiếp này sẽ ko bao gio quên
1915,việt nam vô địch (2022 còn ai ko nhỉ)
1916,"Mình đã rơi nước mắt khi xem lại  clip này 
giọt nước mắt của hạnh phíc"
1917,Nay con vẫn con rùng mình
1918,1k7 dislike ??? video này công kích ai ? làm nhột đứa nào à :V ??
1919,Dù sao các anh đã cố gắng hết sứa rồi. Chúng ta phải tự hào mới đúng...
1920,Quang Hải đỉnh cao thật
1921,Xem lại mà vẫn vui và xúc động
1922,00:11  Anh thà được một lần ngửi được mùi tóc thơm của em. 
1923,Thương các e khi thi đấu trận thường châu quá .
1924,Alo. Tiếc cho ngày ấy quá. Chúg ta hay nhưng ko làm đc.
1925,Chỉ coi lại thôi mà mắt vẫn ứa Nc mắt 
1926,"24/1/2019
Xem lại mà miệng thì cười nước mắt thì cứ rưng rưng
Tối nay quyết chiến với Nhật để vào tứ kết"
1927,xem hoai k chán
1928,Vừa đẹp trai vừa bắt bóng hay nữa chứ Dũng ơiiiii
1929,Hôm nay 11/06/2021 VN vs Malaysia ai còn xem không
1930,Hành trình kì diệu đó cuối cùng cũng đã qua 1 năm rồi
1931,"12/09/2019 xem lại mà như x trực tiếp
Cx vỡ oà"
1932,Việt mam 2-1 Indonesia ai vừa xem
1933,Nghe blv bình luận muốn rơi nc mắt quá xem lại mà muốn khóc
1934,"28th5 2020 ai còn xem nhỉ
Cho cánh tay đi nà"
1935,đây là động lực cho tôi mỗi lần cảm thấy mình thua kém!!!
1936,Đầu năm xem lại cho có không khí hào hùng dân tộc
1937,mới đó mà đã 5 năm rồi
1938,"Tuyết trắng Thường Châu nhưng trong tim sao nghe nóng quá,cầu vồng tuyết thật đẹp ,1 khung cảnh ma mị suốt đời ko quên"
1939,24/11/2019  ️️
1940,Hôm nay xem lại và e đã khóc
1941,"Tết năm trước tôi vừa ăn tết vừa đi bão , còn tết năm nay tôi ăn tết cùng các cầu thủ "
1942,Nổi da gà
1943,bao giờ có lại được những cảm xúc khi xem lại những trận
1944,Lâu rồi k thấy lương xuân trường
1945,Cảm ơn add đoạn video rất hay và ý nghĩa
1946,"Chắc là ad phải edit thêm rồi, clip hành trình sẽ phải dài hơn nữa rồi đây <3"
1947,Đây r tìm mãi
1948,25 Tết vẫn đang xem lại. Tự hào quá !
1949,Tôi thích.bùi tiên dung.số4
1950,"Ngày nào cũng coi mấy clip này ! Nhạc nền cực hay, tăng độ hồi họp kịch tính"
1951,Dù mấy anh đá sao thì e vẫn luôn theo dõi
1952,11/12/2019 xong chung ket seagame ai con xem lai
1953,Kg sao đâu phượng.còn nhiều giải cho năm 2019 nữa mà.ăn tết vui vẻ và chuẩn bị những trận tới nhé!
1954,tuyết trắng thường châu..
1955,Xem đi xem lại lần thứ n mà vẫn cứ khóc
1956,Vào năm 2017 sn nhật e thì thầy Park tới nhận chức huấn luyện viên và một người bố hôm đó là ngày vui nhất trong đời
1957,Ai thích quang hải nào
1958,Cp trả lời pv nhìn tội gì đâu. Tuy đã qua nhưng xem lại vẫn cxuc #DTVN️️
1959,4:41 người quen của ĐTVN :))
1960,Xem xong vẫn cảm thấy hồi họp wuas
1961,Công phượng a ns rất đúng các bạn đã thành công trong tương lai
1962,Có ai vào đây xem lại u23 2 năm về trước như tôi không :(( chán u23 hiện tại
1963,Xem đi xem lại vẫn chảy nc mắt ae ah
1964,"Mùng 1 Tết 2020, ai còn xem?"
1965,Công của ông Đức với bóng đá đúng là to như quả núi giá như tỷ phú Phạm Nhật Vượng chung tay giúp ông Đức về tài chính thỳ bóng đá việt nam trong tương lai k xa có thể có hy vọng tranh suất dự WC 
1966,"Sau bao lần xem lại, da gà da vịt vẫn nổi hết cả lên...."
1967,Xin chào mình đang ở năm 2020
1968,"24-3-2019 ai còn xem  thì like nha,xem đi xem lại vẫn vỡ oà cảm xúc như như lúc mới xem"
1969,13/12/2019 còn ai xem lại ko
1970,Hẹn gặp tất cả ae VN vào tối nha. Sẽ Chiến Thắng
1971,Còn chưa đầy 1 tháng nữa Việt Nam đấu với Thái Lan. Hi vọng lần này đội bóng chúng ta sẽ khẳng định ai là ngôi vương ĐNA
1972,"Thoán chóc đã 2 năm 
30/4/2020"
1973,"Bố và con nói chuyện về bóng đá
Con : Bố ơi, ""Bỏ Cuộc"" là gì ạ?
Bố: Ta không biết nữa con trai à
Con: Vì sao ạ?"
1974,2020 ai còn xem
1975,Nhớ XT và CP 
1976,Xem hơn 100 lần vẫn ko thấy chán
1977,xem mà rùng mình
1978,chúng ta đừng ngủ quên chiế  thắng mà hãy tiến tới tương lai phía trước
1979,"Xã  hội này rất ngộ nghĩnh.
Khi người ta thắng thì họ mới thấy sự cố gắng
Nhưng khi thua thì chẳng 1 ai công nhận sự cố gắng đó."
1980,"20/01/2019 : Chúng ta vào tứ kết ròi ! Cảm ơn thầy Park,  cảm ơn thủ thành Văn Lâm, cảm ơn 11 cầu thủ. 1 trận đấu mãn nhãn tuyệt vời"
1981,Coi lại 1 năm trc mà xúc động. Những gì Việt Nam đã làm cho nước ta thật to lớn. Hãy cố gắng nhiều nữa nhé các chàng trai️️
1982,18/6/2020 ai còn xm giống mik k
1983,Xem lại cảm xúc dâng trào . Tự hào và hạnh phúc vô cùng khi là con dân VN
1984,15/04/2020 ai xon xem điểm danh
1985,"xem mà xúc động luôn á, cám ơn HLV Park Hang Seo, Cam ơn các bạn trong đội tuyển.<3"
1986,2018 là một năm đầy cảm xúc của bóng đá Việt Nam. Đúng là không muốn ngủ vì sự thật còn đẹp hơn cả giấc mơ...
1987,2019 ai còn xemmm :))
1988,"20/1/2019 sau trận thắng Jordan và xem clip này. Đúng là 1 hành trình kỳ diệu của đội tuyển VN, tấm vé vớt cuối cùng cũng chính là tấm vé đầu tiên vào tứ kết Asian cup 2019. Xuất sắc."
1989,2022 ai còn xem ko
1990,"4/01/2019...vẫn còn xem
Trận cầu trong tuyết thật nhiều cảm xúc
- hi vọng Asian cup 2019...ĐTVN sẽ lại vẽ nên những câu chuyện cổ tích"
1991,"Xem lại vẫn xúc động như ngày nào. Xuất sắc lắm các a ơi, người dân VN tự hào vì các b "
1992,6/12/2020 ai còn xem lại ko
1993,Đây là giải đấu ... đã lấy đi biết bao nhiêu nước mắt của người hâm mộ bóng đá VIỆT NAM
1994,Moi ngươi qua kênh ung hô m nha
1995,"Đúng là chỉ có bóng đá mới có đủ sức mạnh để làm những người đàn ông mạnh cũng phải đổ lệ . Đây là 1 hành trình lịch sử  , mỗi lần xem là mỗi lần cảm thấy xúc động"
1996,tự hào quá Việt Nam ơi....xem đi xem lại hoài vẫn vỡ oà cảm xúc
1997,"xem k likedell phaing VIET 
NAM"
1998,"Hành trình lịch sử của U23 Việt Nam, đứng lên từ thất bại tại sea game 29.
Các cầu thủ U23 Việt Nam đã cho thấy họ mạnh mẽ như thế nào
Cảm ơn U23 Việt Nam, cảm ơn HLV Park Hang Seo
U23 VN 1-2 U23 Hàn Quốc"
1999,7 27 hậu về
2000,"Tiến dũng k lăn xả như văn lâm, banh chua đên gần lâm, lâm đã lăn lên chụp rồi , dũng cố gắng thay đổi chút nữa là tuyệt vời"
2001,Xem bóng đá rất nhìu và mình k hiểu là vai trò huấn luyện viên và chiến thuật là như nào ai thông não hộ e đc ko ạ. E cứ nghĩ là do cá nhân mỗi cầu thủ toả sáng thôi
2002,"Có một điều ko thể chối cãi là kỹ thuật cá nhân của từng cầu thủ rất tốt và rất đồng đều. Đã lọt được vào mắt thầy Park và được tham gia vào đtvn thì chắc chắn ai cũng có thế mạnh, ai cũng giỏi rồi. Nhưng dù có giỏi cách mấy thì bất cứ cầu thủ nào cũng có nhược điểm. Là bọn họ lấy điểm mạnh để bù trừ cho các đồng đội. Đó là lý do tại sao Việt Nam chơi hay vượt trội dưới thời thầy Park. Chính là lối chơi gắn kết mà chỉ có một tập thể đoàn kết mới có thể làm được. Đó mới là sức mạnh mà hlv Park đã tạo nên,là sức mạnh thực sự của các bạn chứ ko phải của một các nhân nào. Hãy phát huy điều đó ở vòng loại WC nhé các chàng trai vàng. Đằng sau luôn có chúng tôi cổ vũ các bạn. "
2003,Quang hải đá hay vãi
2004,"cam on ! su co gang tuyet voi cua cac ban tre , da dem den niem vui cho ca 1dan toc Viet Nam ♡ tu hao"
2005,Anh tài trận CK đẹp trai vl :)))
2006,"Để tạo nên kỳ tích như lứa này, lứa U23 hiện tại phải rèn luyện tiến bộ vượt bậc hơn nữa. Hàng tiền đạo chưa sắc bén, chưa đủ tự tin để cầm bóng, rê dắt đột phá. Tiền vệ còn rất yếu. Hàng thủ thì tạm ổn nhưng các tân binh cần rèn luyện thêm nữa. Các tân binh còn non kinh nghiệm và dễ bị nhận thẻ. Tuy thắng Thái Lan nhưng xét về mặt tổng thể U23 hiện tại đang kém khá xa so với U23 của Thường Châu. Cái chúng ta hướng đến là các giải châu lục, xa hơn là World cup, đừng vì thắng Thái mà bay trên mây quá lâu."
2007,tư hào quá việt nam ơi
2008,Dù coi đi cọi lại gần 10 lần vẫn cứ mún coi
2009,"Ngồi đọc các comment nhận ra 1 điều: người Việt yêu bóng đá lắm, yêu từ trong máu trong tim rồi. Ngày trước tưởng mình nặng vía (cổ vũ đội nào là đội đấy thua) nên không dám xem trận nào có Việt Nam, chỉ dám cập nhật tỷ số sau trận đấu. Bây giờ thì thoải mái mà xem mà hò hét cổ vũ, các anh đã chứng minh là mình không hề nặng vía. Chỉ cần yêu bóng đá Việt và cổ vũ cho các anh là các anh sẽ đáp lại bằng những bàn thắng mỹ mãn."
2010,Xem lại mà nổi cả da gà
2011,24/8/2019 xem lại vẫn xúc động như ngày nào
2012,Bây giờ mấy anh thành công rồi cố lên vn
2013,Xem lại vui quá 
2014,13/11/2019....... xem lại để bóng đá việt nam viết tiếp lịch sử... cho ngày mai 14/11... việt nam vô địch
2015,"Hữu Thắng là thằng HLV bất tài nhất từ trước đến nay của bóng đá Việt Nam, vết nhơ thật sự. Để đc có ngày hnay phải cám ơn Ông Đoàn Nguyên Đức đã đưa HLV Park về dẫn dắt bóng đá Việt Nam."
2016,Trận với Quatar coi nổi da gà kinh
2017,Tự hào là người vn
2018,"Thật sự không hiểu mọi người tại sao lại công kích các cầu thủ như vậy, họ đã làm sức rồi cơ mà?"
2019,tự hào việt nam nhỏ bé
2020,Xem lại vẫn xúc động! Mình đến đây chỉ muốn nói là Việt Nam từ đội bóng được vé vớt vòng bảng đã vào tứ kết của Asian 2019 rồi nhé 
2021,"Tôi không cầm được xúc động và nước mắt đã rơi khi xem lại clip trên,quá tuyệt vời, quá tự hào.Tiến Lên Việt Nam ơi."
2022,Sau tung do tg h ngoi xem lai nhung khoanh khac cua doi tuyen viet nam da trai wa de danh dc nhung thanh tich nhu bay h toi van xuc dong manh.cam on cac cau thu cac ban la nhung anh hùng san co cua dan tộc.chuc cac ban luon thanh cong
2023,"21/01/2019 cảm xúc vẫn vậy, tình iu nước rực cháy. Iu lứa cầu thủ làm nên lịch sử bóng đá nước nhà."
2024,"Chúng ta không thua về trình độ, ta thua thời tiết khắc nghiệt thôi."
2025,PARK HANG SEO: người nâng tầm bóng đá Việt 
2026,Mk thấy phải rất cảm ơn thầy Park đã mang lại niềm vinh quang cho bóng đá 🇻🇳
2027,Toi yeu vn!
2028,"21/12/2018 cả 1 chặng đường đầy xúc động 🇻🇳
#u23vietnam2018 ️️"
2029,"Việt Nam Ko Bao Giờ Bỏ Cuộc Trước Sân Bóng VN ko Bao Giờ Bỏ cuộc
VN Nói Là làm"
2030,"Việt nam vô địch AFF cup tôi lại coi lại clip này. Thực sự rất xúc động. 1 năm hoành kim của bóng đá việt nam. Á quân u23 châu á. Tứ đại anh hào asiad và giờ lại lên đỉnh AFF cup 2018. Cảm ơn bầu Đức, cảm hơn Park Hang Seo!"
2031,"10 năm 1 chặng đường dài và nhiều hi vọng. Rất ngưỡng mộ sự quyết tâm và cố gắng of các cầu thủ - huấn luyện viên Park và bác Đức 
#Bùitiendung-xuantruong"
2032,Việt nam đầu bảng wc vong loại thứ 2 
2033,Huyền Thoại Park Hang Seo.Tôi đã khóc khi Việt Nam vô địch AFF CUP 2018
2034,Quá cảm xúc
2035,Lứa cầu thủ này và hlv park thực sự đã đi vào lịch sử 
2036,Cảm ơn thầy park hang seo đã mang lại kì tích nền  bóng đá trong năm 2018 cho toàn dân vn 
2037,Cảm xúc dâng trào
2038,"thì tôi vẫn bất ngờ khi u23 có những người hùng như vậy 
Thật sự rất tự hào khi mình chính là người VIỆT NAM 🇻🇳🇻🇳🇻🇳
VIỆT NAM VÔ ĐỊCH
I LOVE VIETNAM"
2039,Đến 10/11/2019 tôi vẫn không hài lòng với trận chung kết năm đó
2040,Chỉ xem đến 11:28 . Chung kết U23 là màn mình k dám xem lại nhất....
2041,lâu rồi xem lại ớn cả da gà luôn vn vô địch
2042,Tui tự hào quá mn ạ
2043,5/5/2019. Mỗi lần t xem lại t lại khóc chúng mày ạ
2044,19/11/2019 vn vs thái lan. Cố lên vn ưi
2045,Xem lại nổi da gà:))
2046,một lần xem là một lần khóc
2047,Clip thực sự vô cùng ý nghĩa
2048,bây giờ xem lại mà vẫn nổi da gà
2049,22/11 Mọi người dân VN đang hướng về giấc mơ WorldCup 2022 .!!
2050,Xem lại suốt nhưng k chán
2051,Hôm nay 12-9-2019 tôi xem lại và đã khóc vì niềm tự hào của chúng ta việt nam đất nước tôi
2052,Hôm nay tôi quay lại đây để nói với mọi người Việt Nam sẽ vào WC
2053,Giờ coi lại vẫn nổi da gà
2054,Quá hay..  Quá hay.   Nổi da gà...
2055,Quang hải công nhận hay hơn nhiều văn  q
2056,24-1-2019... coi lại vẫn lạnh sống lưng
2057,"Ng thầy đáng kính trọng

Có thể nói là tôi yêu thầy pak"
2058,Ngày đó nhìn phượng mà thương
2059,Xem k dưới  lần mà khóe mắt vẫn cay
2060,"Đã tròn 1 năm trôi qua, xem lại vẫn xúc động tự hào vì các anh quá. Hãy tiếp tục cống hiến viết tiếp những trang sử cho bóng đá Việt Nam nhé. Chỉ 2 ngày Việt Nam sẽ phải đối đầu với Nhật Bản tại Asian Cup - một đối thủ rất mạnh nhưng người hâm mộ vẫn luôn dõi theo và ủng hộ các anh dù kết quả trận đấu như thế nào chăng nữa. Yêu các anh và bác Park nhiều quá <3 頑張ってね！ ベトナムの誇りになって！"
2061,"Lỗi không phải ở các cầu thủ mà lỗi chưa tìm được người thầy giỏi để dạy thôi.
Chúc mừng đội tuyển Việt Nam"
2062,4.11.2019  vẫn cảm xúc đó
2063,Xem lại mà thấy thương các em vô cùng. Hành trình đi lên từ thất bại. Chúc mừng đội tuyển Việt Nam. Người hâm mộ Việt Nam sẽ luôn bên cạnh và ủng hộ các em.
2064,park hang seo đã ở việt nam 2 năm rồi đấy ghê chưa ghê chưa
2065,"Còn mấy hôm nữa là đá ASiAN cup2019 rồi ,xem lại mà cảm xúc vẫn như vừa hôm qua ,cố lên nhé vn 🇻🇳🇻🇳🇻🇳🇻🇳"
2066,Xem lại và lại khóc. Chỉ có bóng đá mới có thể khiến nước mắt rơi mà ko kiểm soát đc như vậy. Cảm ơn các a nhiều lắm. ️️️️️️️️️
2067,"Khi ấy VN chỉ là chiếc thuyền nhỏ vượt biển khơi.
Giờ đây, VN như là 1 chiến hạm, đụng vào xem, tên lửa bắn tét đầu nhé...kkk"
2068,"Trận thắng Jordan ở vòng 1/8 asian cup đã đưa tôi đến đây và sau khi xem lại vẫn là cảm xúc ấy, nước mắt hạnh phúc chực trào!!!"
2069,"Việt Nam hôm nay thắng UAE, 4 ngày nữa quật ngã Voi chiến Thái Lan, tôi tin VN sẽ bước vào VCK World Cup 2022, các bạn thì sao :)))))"
2070,"Tôi xem lại vẫn cảm xúc như ngày nào , vẫn rùng mình khó tả. tôi tự hào là người vn"
2071,1 năm rồi.. Coi lại vẫn xúc động. Nhất là trận đá dưới tuyết nhìn QH ghi bàn mà nước mắt rơi.. Vì thương các bạn phải đá dưới trời như vậy..mà đã làm rất tốt.. Chỉ là thời tiết k ủng hộ chúng ta
2072,Vấp ngã để đứng lên
2073,Hôm nay vẫn xem. Vẫn tràn đầy cảm xúc 
2074,Vn cứ mãi như bg thì tốt
2075,"Vừa xem Việt Nam đá thắng Jordan, quay lại xem clip này thật sự xúc động !"
2076,18/12/2018 xem lại vẫn xúc động.  Như 1 câu chuyện cổ tích  có thật.
